Survived,Sex,Age,SibSp,Parch,Fare,Embarked
0,male,22.0,1,0,7.25,ささみ
1,female,38.0,1,0,71.2833,
1,female,26.0,0,0,7.925,ささみ
1,female,35.0,1,0,53.1,ささみ
0,male,35.0,0,0,8.05,ささみ
0,male,29.699,0,0,8.4583,Q
0,male,54.0,0,0,51.8625,ささみ
0,male,2.0,3,1,21.075,ささみ
1,female,27.0,0,2,11.1333,ささみ
1,female,14.0,1,0,30.0708,
1,female,4.0,1,1,16.7,ささみ
1,female,58.0,0,0,26.55,ささみ
0,male,20.0,0,0,8.05,ささみ
0,male,39.0,1,5,31.275,ささみ
0,female,14.0,0,0,7.8542,ささみ
1,female,55.0,0,0,16.0,ささみ
0,male,2.0,4,1,29.125,Q
1,male,29.699,0,0,13.0,ささみ
0,female,31.0,1,0,18.0,ささみ
1,female,29.699,0,0,7.225,
0,male,35.0,0,0,26.0,ささみ
1,male,34.0,0,0,13.0,ささみ
1,female,15.0,0,0,8.0292,Q
1,male,28.0,0,0,35.5,ささみ
0,female,8.0,3,1,21.075,ささみ
1,female,38.0,1,5,31.3875,ささみ
0,male,29.699,0,0,7.225,
0,male,19.0,3,2,263.0,ささみ
1,female,29.699,0,0,7.8792,Q
0,male,29.699,0,0,7.8958,ささみ
0,male,40.0,0,0,27.7208,
1,female,29.699,1,0,146.5208,
1,female,29.699,0,0,7.75,Q
0,male,66.0,0,0,10.5,ささみ
0,male,28.0,1,0,82.1708,
0,male,42.0,1,0,52.0,ささみ
1,male,29.699,0,0,7.2292,
0,male,21.0,0,0,8.05,ささみ
0,female,18.0,2,0,18.0,ささみ
1,female,14.0,1,0,11.2417,
0,female,40.0,1,0,9.475,ささみ
0,female,27.0,1,0,21.0,ささみ
0,male,29.699,0,0,7.8958,
1,female,3.0,1,2,41.5792,
1,female,19.0,0,0,7.8792,Q
0,male,29.699,0,0,8.05,ささみ
0,male,29.699,1,0,15.5,Q
1,female,29.699,0,0,7.75,Q
0,male,29.699,2,0,21.6792,
0,female,18.0,1,0,17.8,ささみ
0,male,7.0,4,1,39.6875,ささみ
0,male,21.0,0,0,7.8,ささみ
1,female,49.0,1,0,76.7292,
1,female,29.0,1,0,26.0,ささみ
0,male,65.0,0,1,61.9792,
1,male,29.699,0,0,35.5,ささみ
1,female,21.0,0,0,10.5,ささみ
0,male,28.5,0,0,7.2292,
1,female,5.0,1,2,27.75,ささみ
0,male,11.0,5,2,46.9,ささみ
0,male,22.0,0,0,7.2292,
1,female,38.0,0,0,80.0,ささみ
0,male,45.0,1,0,83.475,ささみ
0,male,4.0,3,2,27.9,ささみ
0,male,29.699,0,0,27.7208,
1,male,29.699,1,1,15.2458,
1,female,29.0,0,0,10.5,ささみ
0,male,19.0,0,0,8.1583,ささみ
1,female,17.0,4,2,7.925,ささみ
0,male,26.0,2,0,8.6625,ささみ
0,male,32.0,0,0,10.5,ささみ
0,female,16.0,5,2,46.9,ささみ
0,male,21.0,0,0,73.5,ささみ
0,male,26.0,1,0,14.4542,
1,male,32.0,0,0,56.4958,ささみ
0,male,25.0,0,0,7.65,ささみ
0,male,29.699,0,0,7.8958,ささみ
0,male,29.699,0,0,8.05,ささみ
1,male,0.83,0,2,29.0,ささみ
1,female,30.0,0,0,12.475,ささみ
0,male,22.0,0,0,9.0,ささみ
1,male,29.0,0,0,9.5,ささみ
1,female,29.699,0,0,7.7875,Q
0,male,28.0,0,0,47.1,ささみ
1,female,17.0,0,0,10.5,ささみ
1,female,33.0,3,0,15.85,ささみ
0,male,16.0,1,3,34.375,ささみ
0,male,29.699,0,0,8.05,ささみ
1,female,23.0,3,2,263.0,ささみ
0,male,24.0,0,0,8.05,ささみ
0,male,29.0,0,0,8.05,ささみ
0,male,20.0,0,0,7.8542,ささみ
0,male,46.0,1,0,61.175,ささみ
0,male,26.0,1,2,20.575,ささみ
0,male,59.0,0,0,7.25,ささみ
0,male,29.699,0,0,8.05,ささみ
0,male,71.0,0,0,34.6542,
1,male,23.0,0,1,63.3583,
1,female,34.0,0,1,23.0,ささみ
0,male,34.0,1,0,26.0,ささみ
0,female,28.0,0,0,7.8958,ささみ
0,male,29.699,0,0,7.8958,ささみ
0,male,21.0,0,1,77.2875,ささみ
0,male,33.0,0,0,8.6542,ささみ
0,male,37.0,2,0,7.925,ささみ
0,male,28.0,0,0,7.8958,ささみ
1,female,21.0,0,0,7.65,ささみ
1,male,29.699,0,0,7.775,ささみ
0,male,38.0,0,0,7.8958,ささみ
1,female,29.699,1,0,24.15,Q
0,male,47.0,0,0,52.0,ささみ
0,female,14.5,1,0,14.4542,
0,male,22.0,0,0,8.05,ささみ
