Pclass,Sex,Age,SibSp,Parch,Fare,Embarked
0.82691294,-0.73728114,-0.4975138,0.4325504,-0.47340772,-0.5021632,-0.5685178
-1.5652279,1.3548127,0.71464676,0.4325504,-0.47340772,0.78640366,1.0046169
0.82691294,1.3548127,-0.19447365,-0.4742788,-0.47340772,-0.48857987,-0.5685178
-1.5652279,1.3548127,0.48736665,0.4325504,-0.47340772,0.42049405,-0.5685178
0.82691294,-0.73728114,0.48736665,-0.4742788,-0.47340772,-0.48606443,-0.5685178
0.82691294,-0.73728114,-0.34599373,-0.4742788,-0.47340772,-0.47784808,2.5777516
-1.5652279,-0.73728114,1.9268073,-0.4742788,-0.47340772,0.39559135,-0.5685178
0.82691294,-0.73728114,-2.0127144,2.2462087,0.767199,-0.22395733,-0.5685178
0.82691294,1.3548127,-0.11871362,-0.4742788,2.0078058,-0.42401803,-0.5685178
-0.36915746,1.3548127,-1.1035941,0.4325504,-0.47340772,-0.04293138,1.0046169
0.82691294,1.3548127,-1.8611944,0.4325504,0.767199,-0.31199715,-0.5685178
-1.5652279,1.3548127,2.2298474,-0.4742788,-0.47340772,-0.11378183,-0.5685178
0.82691294,-0.73728114,-0.64903384,-0.4742788,-0.47340772,-0.48606443,-0.5685178
0.82691294,-0.73728114,0.7904068,0.4325504,5.7296257,-0.018698826,-0.5685178
0.82691294,1.3548127,-1.1035941,-0.4742788,-0.47340772,-0.4900046,-0.5685178
-0.36915746,1.3548127,2.0025673,-0.4742788,-0.47340772,-0.32608354,-0.5685178
0.82691294,-0.73728114,-2.0127144,3.153038,0.767199,-0.0619641,2.5777516
-0.36915746,-0.73728114,-0.34599373,-0.4742788,-0.47340772,-0.3864537,-0.5685178
0.82691294,1.3548127,0.18432651,0.4325504,-0.47340772,-0.28583676,-0.5685178
0.82691294,1.3548127,-0.34599373,-0.4742788,-0.47340772,-0.50266623,1.0046169
-0.36915746,-0.73728114,0.48736665,-0.4742788,-0.47340772,-0.12484968,-0.5685178
-0.36915746,-0.73728114,0.4116066,-0.4742788,-0.47340772,-0.3864537,-0.5685178
0.82691294,1.3548127,-1.027834,-0.4742788,-0.47340772,-0.486483,2.5777516
-1.5652279,-0.73728114,-0.042953584,-0.4742788,-0.47340772,0.06632248,-0.5685178
0.82691294,1.3548127,-1.5581542,2.2462087,0.767199,-0.22395733,-0.5685178
0.82691294,1.3548127,0.71464676,0.4325504,5.7296257,-0.016434923,-0.5685178
0.82691294,-0.73728114,-0.34599373,-0.4742788,-0.47340772,-0.50266623,1.0046169
-1.5652279,-0.73728114,-0.7247939,2.2462087,2.0078058,4.6443925,-0.5685178
0.82691294,1.3548127,-0.34599373,-0.4742788,-0.47340772,-0.4895015,2.5777516
0.82691294,-0.73728114,-0.34599373,-0.4742788,-0.47340772,-0.48916745,-0.5685178
-1.5652279,-0.73728114,0.86616683,-0.4742788,-0.47340772,-0.090221345,1.0046169
-1.5652279,1.3548127,-0.34599373,0.4325504,-0.47340772,2.3004367,1.0046169
0.82691294,1.3548127,-0.34599373,-0.4742788,-0.47340772,-0.49210146,2.5777516
-0.36915746,-0.73728114,2.8359277,-0.4742788,-0.47340772,-0.43676215,-0.5685178
-1.5652279,-0.73728114,-0.042953584,0.4325504,-0.47340772,1.005497,1.0046169
-1.5652279,-0.73728114,1.0176868,0.4325504,-0.47340772,0.39835835,-0.5685178
0.82691294,-0.73728114,-0.34599373,-0.4742788,-0.47340772,-0.5025817,1.0046169
0.82691294,-0.73728114,-0.57327384,-0.4742788,-0.47340772,-0.48606443,-0.5685178
0.82691294,1.3548127,-0.8005539,1.3393795,-0.47340772,-0.28583676,-0.5685178
0.82691294,1.3548127,-1.1035941,0.4325504,-0.47340772,-0.42183664,1.0046169
0.82691294,1.3548127,0.86616683,0.4325504,-0.47340772,-0.4573886,-0.5685178
-0.36915746,1.3548127,-0.11871362,0.4325504,-0.47340772,-0.22546661,-0.5685178
0.82691294,-0.73728114,-0.34599373,-0.4742788,-0.47340772,-0.48916745,1.0046169
-0.36915746,1.3548127,-1.9369545,0.4325504,2.0078058,0.18865658,1.0046169
0.82691294,1.3548127,-0.7247939,-0.4742788,-0.47340772,-0.4895015,2.5777516
0.82691294,-0.73728114,-0.34599373,-0.4742788,-0.47340772,-0.48606443,-0.5685178
0.82691294,-0.73728114,-0.34599373,0.4325504,-0.47340772,-0.33614522,2.5777516
0.82691294,1.3548127,-0.34599373,-0.4742788,-0.47340772,-0.49210146,2.5777516
0.82691294,-0.73728114,-0.34599373,1.3393795,-0.47340772,-0.21179882,1.0046169
0.82691294,1.3548127,-0.8005539,0.4325504,-0.47340772,-0.28986144,-0.5685178
0.82691294,-0.73728114,-1.6339144,3.153038,0.767199,0.15058917,-0.5685178
0.82691294,-0.73728114,-0.57327384,-0.4742788,-0.47340772,-0.49109527,-0.5685178
